MASA PEROLEHAN,NILAI PEROLEHAN,Aset_Baru,Perolehan_Mahal,Akum_Jan_Tinggi,Akum_Des_Tinggi,S1_DiAtasRata,S2_DiAtasRata,Selisih_Semester,Umur_Aset,Penyusutan Semester 1,Penyusutan Semester 2
2006,3853000.0,0,0,1,1,0,0,0.0,19,0.0,0.0
2003,3797000.0,0,0,1,1,0,0,0.0,22,0.0,0.0
2006,2978000.0,0,0,1,1,0,0,0.0,19,0.0,0.0
2009,9000000.0,0,1,1,1,0,0,0.0,16,0.0,0.0
2006,3805000.0,0,0,1,1,0,0,0.0,19,0.0,0.0
2010,12570000.0,0,1,1,1,0,0,0.0,15,0.0,0.0
2021,18285000.0,1,1,1,1,1,1,0.0,4,1828500.0,1828500.0
2006,92947000.0,0,1,1,1,0,0,0.0,19,0.0,0.0
2024,246000000.0,1,1,0,1,1,1,0.0,1,24600000.0,24600000.0
2024,4120000.0,1,1,0,0,1,1,0.0,1,412000.0,412000.0
2021,1400331.0,1,0,0,0,0,0,0.0,4,140033.0,140033.0
2021,7500000.0,1,1,1,1,1,1,0.0,4,750000.0,750000.0
2013,2800000.0,0,0,1,0,0,0,0.0,12,0.0,0.0
2019,1299600.0,1,0,0,0,0,0,0.0,6,0.0,0.0
2019,1299600.0,1,0,0,0,0,0,0.0,6,0.0,0.0
2019,1195500.0,1,0,0,0,0,0,0.0,6,0.0,0.0
2019,1195500.0,1,0,0,0,0,0,0.0,6,0.0,0.0
2019,1195500.0,1,0,0,0,0,0,0.0,6,0.0,0.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2021,3742076.0,1,0,0,1,1,1,1.0,4,374207.0,374208.0
2022,3113750.0,1,0,0,0,1,1,0.0,3,311375.0,311375.0
2013,2730000.0,0,0,1,0,0,0,0.0,12,0.0,0.0
2016,2600000.0,0,0,1,0,0,0,0.0,9,0.0,0.0
2016,2600000.0,0,0,1,0,0,0,0.0,9,0.0,0.0
2016,2000000.0,0,0,0,0,0,0,0.0,9,0.0,0.0
2017,4250000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,4250000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,3400000.0,0,0,1,1,0,0,0.0,8,0.0,0.0
2017,3400000.0,0,0,1,1,0,0,0.0,8,0.0,0.0
2017,3400000.0,0,0,1,1,0,0,0.0,8,0.0,0.0
2017,3400000.0,0,0,1,1,0,0,0.0,8,0.0,0.0
2017,3400000.0,0,0,1,1,0,0,0.0,8,0.0,0.0
2017,5850000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,5850000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,5850000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,5850000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2017,5850000.0,0,1,1,1,0,0,0.0,8,0.0,0.0
2018,6688880.0,0,1,1,1,0,0,0.0,7,0.0,0.0
2011,705000.0,0,0,0,0,0,0,0.0,14,0.0,0.0
